NET_PRICE,CONTROL,UGDS,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,SATVRMID,SATMTMID,MD_EARN_WNE_P10,INSTNM
14995.0,1,30032.0,0.1916,0.2663,18500.0,0.6802183594,680.0,680.0,63405.0,University of Georgia
8925.0,1,2546.0,0.4686,0.3924,17500.0,0.3007772896,510.0,480.0,36490.0,Gordon State College
28257.0,2,908.0,0.3911,0.509,16666.0,0.3549160671,495.0,493.0,45512.0,Life University
20884.0,2,4699.0,0.3152,0.5557,24199.0,0.4664031621,663.0,648.0,52487.0,Mercer University
14079.0,2,1408.0,0.3512,0.6997,25000.0,0.4711538462,600.0,575.0,49918.0,Oglethorpe University
19827.0,2,1213.0,0.4241,0.6706,25000.0,0.4774665043,565.0,550.0,48097.0,Piedmont University
16638.0,2,1183.0,0.4089,0.5865,25000.0,0.3869047619,550.0,525.0,44832.0,Shorter University
22759.0,2,688.0,0.4167,0.5451,21198.0,0.4173913043,520.0,490.0,44231.0,Thomas University
20737.0,2,784.0,0.2719,0.3399,22250.0,0.5856832972,565.0,525.0,37975.0,Toccoa Falls College
19652.0,2,838.0,0.1079,0.1667,23439.0,0.5386904762,578.0,560.0,38798.0,Truett McConnell University
13336.0,1,8421.0,0.519,0.5237,24779.0,0.4083426861,535.0,505.0,46357.0,Valdosta State University
11365.0,2,574.0,0.396,0.4805,24094.0,0.4054054054,595.0,527.0,37674.0,Wesleyan College
16239.0,1,8572.0,0.4395,0.4655,23970.0,0.4344457688,550.0,485.0,47080.0,University of West Georgia
13259.0,1,2630.0,0.4399,0.3253,20500.0,0.6322957198,565.0,540.0,45518.0,University of Hawaii at Hilo
13430.0,1,13839.0,0.2574,0.2907,18500.0,0.6938028813,605.0,580.0,56055.0,University of Hawaii at Manoa
27434.0,2,2726.0,0.2171,0.2558,22000.0,0.6262261229,584.0,570.0,55349.0,Hawaii Pacific University
12423.0,1,2651.0,0.3097,0.2383,14500.0,0.5909878683,575.0,520.0,52531.0,University of Hawaii-West Oahu
12019.0,1,6861.0,0.285,0.3624,21982.0,0.6182030338,560.0,545.0,51325.0,University of Idaho
23787.0,2,1118.0,0.2373,0.4745,24500.0,0.7181372549,589.0,574.0,48012.0,The College of Idaho
22893.0,2,1172.0,0.3141,0.582,23750.0,0.6507503411,560.0,540.0,46841.0,Northwest Nazarene University
6577.0,2,43532.0,0.2814,0.1431,13969.0,0.7002285253,555.0,540.0,52551.0,Brigham Young University-Idaho
17285.0,2,4076.0,0.4372,0.5948,20318.0,0.6186746988,525.0,520.0,53159.0,Aurora University
19462.0,2,384.0,0.5833,0.8275,24242.0,0.552407932,520.0,487.0,41589.0,Blackburn College
24835.0,2,4319.0,0.2779,0.6511,27000.0,0.766758494,585.0,585.0,66315.0,Bradley University
22690.0,2,7558.0,0.1226,0.0564,15000.0,0.8724324324,760.0,785.0,78439.0,University of Chicago
